country,year,age_bin,sex,population
korea,1925,0-4,male,1560053
korea,1925,0-4,female,1509533
korea,1925,5-9,male,1200503
korea,1925,5-9,female,1123590
korea,1925,10-14,male,1117122
korea,1925,10-14,female,1040101
korea,1925,15-19,male,964186
korea,1925,15-19,female,912881
korea,1925,20-24,male,749424
korea,1925,20-24,female,720859
korea,1925,25-29,male,754495
korea,1925,25-29,female,718047
korea,1925,30-34,male,654292
korea,1925,30-34,female,605105
korea,1925,35-39,male,594448
korea,1925,35-39,female,545399
korea,1925,40-44,male,497970
korea,1925,40-44,female,451578
korea,1925,45-49,male,425428
korea,1925,45-49,female,392262
korea,1925,50-54,male,347447
korea,1925,50-54,female,326250
korea,1925,55-59,male,291999
korea,1925,55-59,female,296371
korea,1925,60-64,male,231498
korea,1925,60-64,female,248627
korea,1925,65-69,male,181586
korea,1925,65-69,female,207868
korea,1925,70-74,male,94614
korea,1925,70-74,female,112990
korea,1925,75-79,male,45498
korea,1925,75-79,female,58776
korea,1925,80-84,male,12674
korea,1925,80-84,female,18238
korea,1925,85+,male,2913
korea,1925,85+,female,5405
korea,1930,0-4,male,1661240
korea,1930,0-4,female,1620443
korea,1930,5-9,male,1361625
korea,1930,5-9,female,1296035
korea,1930,10-14,male,1153608
korea,1930,10-14,female,1066871
korea,1930,15-19,male,1058199
korea,1930,15-19,female,993740
korea,1930,20-24,male,860573
korea,1930,20-24,female,850970
korea,1930,25-29,male,692154
korea,1930,25-29,female,679822
korea,1930,30-34,male,706726
korea,1930,30-34,female,677336
korea,1930,35-39,male,618681
korea,1930,35-39,female,578721
korea,1930,40-44,male,548241
korea,1930,40-44,female,507159
korea,1930,45-49,male,460921
korea,1930,45-49,female,428224
korea,1930,50-54,male,379603
korea,1930,50-54,female,357839
korea,1930,55-59,male,305594
korea,1930,55-59,female,302361
korea,1930,60-64,male,235138
korea,1930,60-64,female,248612
korea,1930,65-69,male,171553
korea,1930,65-69,female,196183
korea,1930,70-74,male,114519
korea,1930,70-74,female,137739
korea,1930,75-79,male,50191
korea,1930,75-79,female,66432
korea,1930,80-84,male,0
korea,1930,80-84,female,0
korea,1930,85+,male,0
korea,1930,85+,female,0
korea,1935,0-4,male,1864127
korea,1935,0-4,female,1807454
korea,1935,5-9,male,1478064
korea,1935,5-9,female,1408407
korea,1935,10-14,male,1301810
korea,1935,10-14,female,1229821
korea,1935,15-19,male,1080314
korea,1935,15-19,female,1021591
korea,1935,20-24,male,959748
korea,1935,20-24,female,937281
korea,1935,25-29,male,811545
korea,1935,25-29,female,802225
korea,1935,30-34,male,652568
korea,1935,30-34,female,633374
korea,1935,35-39,male,669307
korea,1935,35-39,female,639446
korea,1935,40-44,male,572611
korea,1935,40-44,female,540153
korea,1935,45-49,male,508714
korea,1935,45-49,female,482679
korea,1935,50-54,male,409120
korea,1935,50-54,female,388381
korea,1935,55-59,male,334045
korea,1935,55-59,female,331983
korea,1935,60-64,male,248205
korea,1935,60-64,female,255063
korea,1935,65-69,male,179466
korea,1935,65-69,female,202173
korea,1935,70-74,male,113398
korea,1935,70-74,female,134568
korea,1935,75-79,male,62583
korea,1935,75-79,female,83215
korea,1935,80-84,male,0
korea,1935,80-84,female,0
korea,1935,85+,male,0
korea,1935,85+,female,0
korea,1940,0-4,male,1974157
korea,1940,0-4,female,1923501
korea,1940,5-9,male,1655425
korea,1940,5-9,female,1581813
korea,1940,10-14,male,1398317
korea,1940,10-14,female,1322947
korea,1940,15-19,male,1142250
korea,1940,15-19,female,1121413
korea,1940,20-24,male,908119
korea,1940,20-24,female,926974
korea,1940,25-29,male,845382
korea,1940,25-29,female,859217
korea,1940,30-34,male,725152
korea,1940,30-34,female,731569
korea,1940,35-39,male,606498
korea,1940,35-39,female,598909
korea,1940,40-44,male,608860
korea,1940,40-44,female,592442
korea,1940,45-49,male,515050
korea,1940,45-49,female,501824
korea,1940,50-54,male,445617
korea,1940,50-54,female,439414
korea,1940,55-59,male,355954
korea,1940,55-59,female,357287
korea,1940,60-64,male,270603
korea,1940,60-64,female,281946
korea,1940,65-69,male,186391
korea,1940,65-69,female,186391
korea,1940,70-74,male,115515
korea,1940,70-74,female,140678
korea,1940,75-79,male,56882
korea,1940,75-79,female,76336
korea,1940,80-84,male,0
korea,1940,80-84,female,0
korea,1940,85+,male,0
korea,1940,85+,female,0
korea,1945,0-4,male,2159146
korea,1945,0-4,female,2119472
korea,1945,5-9,male,1815269
korea,1945,5-9,female,1747262
korea,1945,10-14,male,1545793
korea,1945,10-14,female,1462954
korea,1945,15-19,male,1174771
korea,1945,15-19,female,1175654
korea,1945,20-24,male,889337
korea,1945,20-24,female,979989
korea,1945,25-29,male,812916
korea,1945,25-29,female,858660
korea,1945,30-34,male,768255
korea,1945,30-34,female,799205
korea,1945,35-39,male,675127
korea,1945,35-39,female,681636
korea,1945,40-44,male,575438
korea,1945,40-44,female,563422
korea,1945,45-49,male,554141
korea,1945,45-49,female,531905
korea,1945,50-54,male,451506
korea,1945,50-54,female,451128
korea,1945,55-59,male,366961
korea,1945,55-59,female,377014
korea,1945,60-64,male,293122
korea,1945,60-64,female,314342
korea,1945,65-69,male,200965
korea,1945,65-69,female,225093
korea,1945,70-74,male,136940
korea,1945,70-74,female,165109
korea,1945,75-79,male,65901
korea,1945,75-79,female,88320
korea,1945,80-84,male,24464
korea,1945,80-84,female,36987
korea,1945,85+,male,11121
korea,1945,85+,female,20849
korea,1950,0-4,male,0
korea,1950,0-4,female,0
korea,1950,5-9,male,2991580
korea,1950,5-9,female,2886197
korea,1950,10-14,male,1282027
korea,1950,10-14,female,1232613
korea,1950,15-19,male,1029625
korea,1950,15-19,female,993026
korea,1950,20-24,male,863715
korea,1950,20-24,female,854011
korea,1950,25-29,male,759752
