id,mp,party,duration
1,김광진,더불어민주당,5h34m
2,문병호,국민의당,1h50m
3,은수미,더불어민주당,10h18m
4,박원석,정의당,9h29m
5,유승희,더불어민주당,5h20m
6,최민희,더불어민주당,5h21m
7,김제남,정의당,7h03m
8,신경민,더불어민주당,4h46m
9,강기정,더불어민주당,5h04m
10,김경협,더불어민주당,5h07m
11,서기호,정의당,5h16m
12,김현,더불어민주당,4h18m
13,김용익,더불어민주당,2h01m
14,배재정,더불어민주당,3h39m
15,전순옥,더불어민주당,3h32m
16,추미애,더불어민주당,2h32m
17,정청래,더불어민주당,11h39m
18,진선미,더불어민주당,9h16m
19,최규성,더불어민주당,2h53m
20,오제세,더불어민주당,2h05m
21,박혜자,더불어민주당,2h38m
22,권은희,국민의당,3h00m
23,이학영,더불어민주당,10h33m
24,홍종학,더불어민주당,7h21m
25,서영교,더불어민주당,6h59m
26,최원식,국민의당,4h03m
27,홍익표,더불어민주당,7h16m
28,이언주,더불어민주당,5h12m
29,전정희,무소속,3h37m
30,임수경,더불어민주당,4h06m
31,안민석,더불어민주당,3h08m
32,김기준,더불어민주당,1h49m
33,김관영,국민의당,0h59m
34,박영선,더불어민주당,1h08m
35,주승용,국민의당,1h04m
36,정진후,정의당,7h28m
37,심상정,정의당,1h33m
38,이종걸,더불어민주당,12h31m
