turn_index,player,thinking_time,game
1,Lee_Sedol,19,1
2,Lee_Sedol,86,1
3,Lee_Sedol,75,1
4,Lee_Sedol,79,1
5,Lee_Sedol,71,1
6,Lee_Sedol,11,1
7,Lee_Sedol,4,1
8,Lee_Sedol,36,1
9,Lee_Sedol,33,1
10,Lee_Sedol,143,1
11,Lee_Sedol,18,1
12,Lee_Sedol,8,1
13,Lee_Sedol,180,1
14,Lee_Sedol,246,1
15,Lee_Sedol,3,1
16,Lee_Sedol,6,1
17,Lee_Sedol,152,1
18,Lee_Sedol,181,1
19,Lee_Sedol,4,1
20,Lee_Sedol,187,1
21,Lee_Sedol,3,1
22,Lee_Sedol,55,1
23,Lee_Sedol,57,1
24,Lee_Sedol,50,1
25,Lee_Sedol,8,1
26,Lee_Sedol,31,1
27,Lee_Sedol,23,1
28,Lee_Sedol,24,1
29,Lee_Sedol,2,1
30,Lee_Sedol,148,1
31,Lee_Sedol,6,1
32,Lee_Sedol,73,1
33,Lee_Sedol,65,1
34,Lee_Sedol,51,1
35,Lee_Sedol,2,1
36,Lee_Sedol,45,1
37,Lee_Sedol,7,1
38,Lee_Sedol,94,1
39,Lee_Sedol,14,1
40,Lee_Sedol,373,1
41,Lee_Sedol,64,1
42,Lee_Sedol,2,1
43,Lee_Sedol,83,1
44,Lee_Sedol,362,1
45,Lee_Sedol,21,1
46,Lee_Sedol,52,1
47,Lee_Sedol,4,1
48,Lee_Sedol,8,1
49,Lee_Sedol,17,1
50,Lee_Sedol,62,1
51,Lee_Sedol,29,1
52,Lee_Sedol,628,1
53,Lee_Sedol,68,1
54,Lee_Sedol,10,1
55,Lee_Sedol,402,1
56,Lee_Sedol,52,1
57,Lee_Sedol,17,1
58,Lee_Sedol,23,1
59,Lee_Sedol,5,1
60,Lee_Sedol,8,1
61,Lee_Sedol,26,1
62,Lee_Sedol,94,1
63,Lee_Sedol,40,1
64,Lee_Sedol,12,1
65,Lee_Sedol,35,1
66,Lee_Sedol,1,1
67,Lee_Sedol,99,1
68,Lee_Sedol,13,1
69,Lee_Sedol,21,1
70,Lee_Sedol,2,1
71,Lee_Sedol,6,1
72,Lee_Sedol,2,1
73,Lee_Sedol,10,1
74,Lee_Sedol,12,1
75,Lee_Sedol,10,1
76,Lee_Sedol,62,1
77,Lee_Sedol,9,1
78,Lee_Sedol,50,1
79,Lee_Sedol,7,1
80,Lee_Sedol,6,1
81,Lee_Sedol,2,1
82,Lee_Sedol,17,1
83,Lee_Sedol,3,1
84,Lee_Sedol,6,1
85,Lee_Sedol,8,1
86,Lee_Sedol,6,1
87,Lee_Sedol,7,1
88,Lee_Sedol,5,1
89,Lee_Sedol,2,1
90,Lee_Sedol,21,1
91,Lee_Sedol,2,1
92,Lee_Sedol,9,1
93,Lee_Sedol,13,1
1,AlphaGo,90,1
2,AlphaGo,66,1
3,AlphaGo,79,1
4,AlphaGo,57,1
5,AlphaGo,60,1
6,AlphaGo,52,1
7,AlphaGo,57,1
8,AlphaGo,67,1
9,AlphaGo,85,1
10,AlphaGo,56,1
11,AlphaGo,60,1
12,AlphaGo,58,1
13,AlphaGo,56,1
14,AlphaGo,54,1
15,AlphaGo,55,1
16,AlphaGo,57,1
17,AlphaGo,55,1
18,AlphaGo,56,1
19,AlphaGo,57,1
20,AlphaGo,57,1
21,AlphaGo,67,1
22,AlphaGo,59,1
23,AlphaGo,58,1
24,AlphaGo,60,1
25,AlphaGo,67,1
26,AlphaGo,72,1
27,AlphaGo,61,1
28,AlphaGo,83,1
29,AlphaGo,97,1
30,AlphaGo,60,1
31,AlphaGo,111,1
32,AlphaGo,82,1
33,AlphaGo,66,1
34,AlphaGo,65,1
35,AlphaGo,77,1
36,AlphaGo,95,1
37,AlphaGo,66,1
38,AlphaGo,68,1
39,AlphaGo,102,1
40,AlphaGo,99,1
41,AlphaGo,86,1
42,AlphaGo,105,1
43,AlphaGo,123,1
44,AlphaGo,112,1
45,AlphaGo,97,1
46,AlphaGo,73,1
47,AlphaGo,116,1
48,AlphaGo,96,1
49,AlphaGo,67,1
50,AlphaGo,74,1
51,AlphaGo,101,1
52,AlphaGo,13,1
53,AlphaGo,85,1
54,AlphaGo,76,1
55,AlphaGo,74,1
56,AlphaGo,80,1
57,AlphaGo,78,1
58,AlphaGo,95,1
59,AlphaGo,79,1
60,AlphaGo,88,1
61,AlphaGo,108,1
62,AlphaGo,118,1
63,AlphaGo,99,1
64,AlphaGo,90,1
65,AlphaGo,93,1
66,AlphaGo,92,1
67,AlphaGo,96,1
68,AlphaGo,103,1
69,AlphaGo,103,1
70,AlphaGo,108,1
